,Year,Country,Case Number,Activity,Injury,Fatal (Y/N)
153,2015,USA,2015.08.29.a,Surfing,"No injury, shark struk sufer's leg and his board",N
154,2015,USA,2015.08.22.b,Other,Wound to right lower leg,N
155,2015,AUSTRALIA,2015.08.22.a,Surfing,Severe laceration to left buttock & thigh,N
156,2015,USA,2015.08.20,Surfing,"Injuries to left calf, arm and hand",N
157,2015,USA,2015.08.19,Other,Lacerations to right leg,N
158,2015,USA,2015.08.18.b,Fishing,"No injury, kayak bitten",N
159,2015,SPAIN,2015.08.18.a,Swimming,Minor injury when he attempted to touch a fish. ,N
160,2015,USA,2015.08.10,Fishing,Right hand bitten  PROVOKED INCIDENT,N
161,2015,AUSTRALIA,2015.07.31,Surfing,"Lacerations and puncture wounds to hip, thigh, arm and hand",N
162,2015,USA,2015.07.26.b,Surfing,Minor injury to sole of foot,N
163,2015,USA,2015.07.26.a,Other,"2' cut to dorsum of foot, 2 puncture wounds to sole",N
164,2015,AUSTRALIA,2015.07.25,Diving,FATAL,Y
165,2015,USA,2015.07.23.b,Fishing,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N
166,2015,AUSTRALIA,2015.07.23.a,Surfing,Left hand bitten,N
167,2015,REUNION,2015.07.22,Surfing,Arm bitten,N
168,2015,SOUTH AFRICA,2015.07.19,Surfing,No injury,N
169,2015,USA,2015.07-10,Surfing,"No injury, shark bumped & damaged board",N
170,2015,USA,2015.07.08,Other,Laceration to back,N
171,2015,OTHER,2015.07.06,Swimming,Parallel lacerations to torso inconsistent with shark bite,N
172,2015,BAHAMAS,2015.07.04.b,Fishing,Lacerations to lower leg & ankle,N
173,2015,USA,2015.07.04.a,Other,Lacerations to right hand & forearm,N
174,2015,AUSTRALIA,2015.07.03,Surfing,"No injury, shark bit surfboard",N
175,2015,AUSTRALIA,2015.07.02,Other,Significant injuries to lower legs,N
176,2015,USA,2015.07.01,Swimming,"Injuries to torso, hip, lower leg & hands",N
177,2015,AUSTRALIA,2015.06.30.b,Surfing,Hand bitten,N
178,2015,USA,2015.06.30.a,Other,Shallow lacerations & puncture to lateral left leg,N
179,2015,USA,2015.06.27.b,Swimming,"Injuries to right calf, buttock and both hands",N
180,2015,SOUTH AFRICA,2015.06.27.a,Other,"Right leg severed, multiple lacerations to left leg",N
181,2015,USA,2015.06.26.c,Swimming,Minor lacerations to leg,N
182,2015,SOUTH AFRICA,2015.06.26.b,Surfing,Multiple lacerations to torso & leg,N
183,2015,USA,2015.06.26.a,Standing,Puncture wounds to foot,N
184,2015,AUSTRALIA,2015.06.25.R,Swimming,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N
185,2015,USA,2015.06.25,Surfing,Multiple lacerations to back,N
186,2015,USA,2015.06.24.b,Swimming,Minor injury to foot,N
187,2015,AUSTRALIA,2015.06.24.a,Surfing,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N
188,2015,USA,2015.06.23,Standing,Minor injury to calf ,N
189,2015,OTHER,2015.06.19,Fishing,Injury to hand,N
190,2015,USA,2015.06.17,Swimming,Minor injury to calf ,N
191,2015,USA,2015.06.14.b,Wading,Arm amputated below shoulder,N
192,2015,USA,2015.06.14.a,Wading,Left arm amputated at elbow & severe injury to leg,N
193,2015,USA,2015.06.13,Other,Severe laceration to leg,N
194,2015,USA,2015.06.11,Other,Minor lacerations to foot,N
195,2015,USA,2015.06.07,Other,Lacerations to right calf,N
196,2015,USA,2015.06.05,Other,Puncture wound to finger,N
197,2015,REUNION,2015.06.01,Surfing,Left forearm bitten,N
198,2015,USA,2015.05.29.b,Standing,Left foot bitten,N
199,2015,USA,2015.05.29.a,Wading,Minor lacerations to dorsum of right foot,N
200,2015,OTHER,2015.05.25,Fishing,Lacerations to right forearm,N
201,2015,USA,2015.05.24,Swimming,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N
202,2015,USA,2015.05.20,Surfing,2 puncture wounds to  dorsum of left foot,N
203,2015,USA,2015.05.15,Other,Laceration to foot ,N
204,2015,NEW CALEDONIA,2015.05.09,Snorkeling,FATAL,Y
205,2015,USA,2015.05.07,Swimming,"Lacerations to lower left leg, ankle & foot",N
206,2015,AUSTRALIA,2015.05.03,Surfing,Injuries to left arm & right hand,N
207,2015,SOUTH AFRICA,2015.05.02,Diving,"Injuries to leg, left arm & both hands",N
208,2015,USA,2015.04.29,Snorkeling,FATAL,Y
209,2015,USA,2015.04.26,Wading,Lacerations to left calf,N
210,2015,AUSTRALIA,2015.04.25,Surfing,Leg severed at mid-thigh,N
211,2015,AUSTRALIA,2015.04.24.c,Surfing,"No injury, knocked off ski",N
212,2015,USA,2015.04.13,Other,Lacerations to shoulder and left bicep,N
213,2015,AUSTRALIA,2015.04.11,Other,Ankle injured,N
214,2015,REUNION,2015.04.12,Surfing,FATAL,Y
215,2015,BRAZIL,2015.03.31,Surfing,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,N
216,2015,USA,2015.04.03,Fishing,Injuries to head & torso,N
217,2015,ITALY,2015.03.29,Diving,"FATAL, but shark involvement prior to death unconfirmed",Y
218,2015,SOUTH AFRICA,2015.03.26,Fishing,No injury but kayak bitten,N
219,2015,EGYPT,2015.03.21,Swimming,FATAL,Y
220,2015,USA,2015.03.18,Other,Lacerations to left forearm. Lacerations to left hand and thigh,N
221,2015,OTHER,2015.03.16,Other,Hand bitten,N
222,2015,AUSTRALIA,2015.03.11,Fishing,Bruised in falling overboard as shark bumped boat,N
223,2015,MEXICO,2015.03.10,Fishing,Right hand bitten by hooked shark PROVOKED INCIDENT,N
224,2015,OTHER,2015.03.07,Other,Thigh bitten,N
225,2015,OTHER,2015.02.15,Other,"No injury, shark bit rudder",N
226,2015,REUNION,2015.02.14,Swimming,FATAL,Y
227,2015,AUSTRALIA,2015.02.09,Surfing,FATAL,Y
228,2015,AUSTRALIA,2015.02.08,Surfing,Laceration & puncture wounds to right flank & hip,N
229,2015,AUSTRALIA,2015.02.05,Surfing,5 minor puncture wounds to lower left leg,N
230,2015,AUSTRALIA,2015.01.30,Other,"No injury, shark's teeth scratched hull",N
231,2015,USA,2015.01.27,Fishing,Lacerations to calf by hooked shark PROVOKED INCIDENT,N
232,2015,AUSTRALIA,2015.01.24,Surfing,"No injury, surfboard dented",N
233,2015,USA,2015.01.19.b,Fishing,No injury but shark bit trolling motor & rammed boat,N
234,2015,AUSTRALIA,2015.01.19.a,Surfing,Board snapped in two,N
235,2015,AUSTRALIA,2015.01.17,Fishing,"Shark bumped boat, no injury to occupants",N
236,2015,AUSTRALIA,2015.01.16,Other,Bitten on hand & wrist,N
237,2015,USA,2015.01.08,Swimming,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N
238,2015,BAHAMAS,2015.01.06,Snorkeling,Severe bite to right flank,N
239,2015,SOUTH AFRICA,2015.01.03,Surfing,"Lacerations to lower left leg, puncture wounds to sole of left foot",N
240,2015,USA,2015.01.01,Other,Leg bitten,N
241,2014,AUSTRALIA,2014.12.29.b,Surfing,Lacerations to both feet,N
242,2014,AUSTRALIA,2014.12.29.a,Fishing,FATAL,Y
243,2014,OTHER,2014.12.28.d,Other,"Of 9 bodies recovered, one was bitten by a shark",N
244,2014,SOUTH AFRICA,2014.12.28.c,Swimming,Minor cuts on feet,N
245,2014,USA,2014.12.28.b,Surfing,Injury to hip/leg,N
246,2014,AUSTRALIA,2014.12.28.a,Fishing,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N
247,2014,JAPAN,2014.12.23.R,Diving,"No injury, shark snagged its teeth in diver's suit",N
248,2014,AUSTRALIA,2014.12.15,Fishing,FATAL,Y
249,2014,SPAIN,2014.12.03.R,Fishing,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N
250,2014,AUSTRALIA,2014.11.29,Surfing,Minor injuries to right leg,N
251,2014,OTHER,2014.11.20,Fishing,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y
252,2014,AUSTRALIA,2014.11.19,Fishing,"Shark chasing fish bumped boat, no injury to occupants",N
253,2014,USA,2014.11.16,Surfing,Laceration to left hand,N
254,2014,USA,2014.11.17,Other,"Shark bumped boat, no injury to occupants",N
255,2014,USA,2014.11.13,Snorkeling,Laceration to left upper leg,N
256,2014,AUSTRALIA,2014.11.10,Surfing,Minor injury to lower leg and foot,N
257,2014,USA,2014.11.08,Surfing,Minor injuries to hand & arm ,N
258,2014,USA,2014.10.31,Surfing,Lacerations to fingers,N
259,2014,AUSTRALIA,2014.10.30,Surfing,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N
260,2014,USA,2014.10.22,Other,"No injury, paddleboard bitten",N
261,2014,USA,2014.10.20,Other,"No injury, paddleboard bitten",N
262,2014,USA,2014.10.19,Other,"No injury to occupant, canoe bitten",N
263,2014,USA,2014.10.18,Surfing,"No injury, surfboard bitten",N
264,2014,AUSTRALIA,2014.10.17,Surfing,"Lacerations to left calf & ankle, puncture wounds to left foot",N
265,2014,USA,2014.10.14,Other,Lacerations to left foot,N
266,2014,USA,2014.10.12,Surfing,Laceration to right hand/wrist,N
267,2014,USA,2014.10.07,Fishing,Thigh bitten,N
268,2014,AUSTRALIA,2014.10.11,Other,"Kayak deflated, no injury to occupants",N
269,2014,USA,2014.10.05.b,Surfing,Foot bitten,N
270,2014,USA,2014.10.05.a,Surfing,Foot bitten,N
271,2014,USA,2014.10.03.b,Other,"No injury to occupant, shark/s holded  kayak",N
272,2014,USA,2014.10.03.a,Other,"No injury to occupant, shark/s holded  kayak",N
273,2014,USA,2014.10.02.b,Surfing,Lacerations to knee,N
274,2014,AUSTRALIA,2014.10.02.a,Surfing,"Left arm & right hand severed, lacerations to both legs",N
275,2014,USA,2014.09.21,Surfing,Minor injury to left foot,N
276,2014,OTHER,2014.09.13.R,Fishing,Thumb & finger nipped,N
277,2014,USA,2014.09.13,Surfing,"A hoax, no shark involvement",N
278,2014,AUSTRALIA,2014.09.09,Swimming,FATAL,Y
279,2014,USA,2014.09.06,Fishing,Leg bitten,N
280,2014,USA,2014.09.03,Other,"No injury, shark bit kayak",N
281,2014,USA,2014.09.02,Fishing,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N
282,2014,SPAIN,2014.09.00,Other,Lacerations to right hand,N
283,2014,USA,2014.08.31,Surfing,Injury to left calf,N
284,2014,USA,2014.08.29.b,Surfing,Lacerations to shin,N
285,2014,USA,2014.08.29.a,Other,Shark involvement not confirmed,N
286,2014,USA,2014.08.28,Fishing,Lacerations to foot by hooked shark PROVOKED INCIDENT,N
287,2014,SPAIN,2014.08.27.c,Swimming,Minor lacerations to posterior lower leg,N
288,2014,USA,2014.08.27.b,Surfing,Laceration to left hand,N
289,2014,USA,2014.08.27.a,Standing,Heel bitten,N
290,2014,USA,2014.08.25,Fishing,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N
291,2014,USA,2014.08.24,Other,Laceration to left foot,N
292,2014,AUSTRALIA,2014.08.16,Fishing,Lacerations to face and neck,N
293,2014,USA,2014.08.12,Standing,Puncture wounds and lacerations to left thigh and knee,N
294,2014,USA,2014.08.10,Other,Puncture wounds & lacerations to foot,N
295,2014,BAHAMAS,2014.08.09.R,Fishing,Puncture wounds to right foot and ankle,N
296,2014,USA,2014.08.09,Swimming,Puncture wounds to right foot & ankle,N
297,2014,USA,2014.08.08,Swimming,Minor lacerations to left heel and big toe,N
298,2014,USA,2014.08.06,Other,Lacerations to right leg & foot,N
299,2014,USA,2014.08.05,Swimming,Lacerations to  foot,N
300,2014,USA,2014.08.02,Surfing,Foot bitten,N
301,2014,USA,2014.08.02,Other,Laceration to ankle,N
302,2014,SOUTH AFRICA,2014.08.01,Surfing,Lower limbs & thigh bitten,N
303,2014,OTHER,2014.08.00,Other,Shark involvement prior to death not confirmed,Y
304,2014,USA,2014.07.27,Swimming,Left foot bitten,N
305,2014,REUNION,2014.07.22,Surfing,Lacerations to right wrist & calf,N
306,2014,USA,2014.07.21,Standing,Lacerations to right knee,N
307,2014,SPAIN,2014.07.20,Wading,Minor injury,N
308,2014,USA,2014.07.16,Swimming,Lacerations to left foot,N
309,2014,USA,2014.07.14,Swimming,Puncture wounds to foot,N
310,2014,BAHAMAS,2014.07.13,Diving,"Missing after a dive, shark involvement considered probable, but not confirmed",Y
311,2014,USA,2014.07.12,Surfing,Lacerations to hand and wrist,N
312,2014,USA,2014.07.09,Surfing,Lacerations to foot,N
313,2014,USA,2014.07.05.b,Swimming,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N
314,2014,USA,2014.07.05.a,Surfing,"No injury, surboard bitten",N
315,2014,USA,2014.07.03,Surfing,Right hand bitten,N
316,2014,OTHER,2014.06.27.R,Other,His boat was holed by a shark,N
317,2014,BAHAMAS,2014.06.25,Fishing,No injury but shark took his pole spear,N
318,2014,AUSTRALIA,2014.06.18.b,Surfing,"No injury, surfboard 'attacked'",N
319,2014,AUSTRALIA,2014.06.18.a,Body boarding,Lacerations to knee,N
320,2014,AUSTRALIA,2014.06.17.R,Other,Lacerations to right hand by captive shark PROVOKED INCIDENT,N
321,2014,BRAZIL,2014.06.09.c,Fishing,Severe injury to arm,N
322,2014,USA,2014.06.09.b,Standing,"Abrasion to right hand, lacerations to left forearm",N
323,2014,AUSTRALIA,2014.06.09.a,Body boarding,Minor injury to torso,N
324,2014,JAPAN,2014.06.08,Surfing,Left arm bitten,N
325,2014,USA,2014.06.07,Other,Shallow lacerations & puncture wounds below shoulder,N
326,2014,USA,2014.06.01.c,Swimming,Laceration to right lower leg,N
327,2014,AUSTRALIA,2014.06.01.b,Surfing,Lacerations & puncture wounds to ankle and foot,N
328,2014,USA,2014.06.01.a,Other,Laceration to left hand,N
329,2014,AUSTRALIA,2014.05.27.R,Other,Lacerations to legs,N
330,2014,OTHER,2014.05.23,Diving,Lacerations to left thigh and hip,N
331,2014,AUSTRALIA,2014.05.22,Other,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N
332,2015,OTHER,2015.11.20,Snorkeling,Lacerations to left calf,N
333,2014,USA,2014.05.15,Body boarding,Calf bitten,N
334,2014,AUSTRALIA,2014.05.14,Surfing,"No injury, but surfboard severely damaged",N
335,2014,USA,2014.05.13,Wading,Lacerations and puncture wounds to right foot,N
336,2014,USA,2014.05.11,Surfing,Puncture wounds to right thigh,N
337,2014,USA,2014.05.10.R,Diving,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",N
338,2014,USA,2014.05.06,Swimming,Lacerations to left foot,N
339,2014,USA,2014.05.01,Surfing,Laceration to right hand and cuts on fingertips,N
340,2014,AUSTRALIA,2014.04.24,Fishing,Minor injury,N
341,2014,USA,2014.04.22,Swimming,Laceration & puncture wounds to right foot,N
342,2014,USA,2014.04.15,Wading,Minor lacerations to left foot,N
343,2014,SOUTH AFRICA,2014.04.12.R,Other,"No injury to occupants, shark bit pontoon",N
344,2014,SOUTH AFRICA,2014.04.12,Fishing,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N
345,2014,USA,2014.04.04.b,Surfing,Minor puncture wounds to lower left leg,N
346,2014,USA,2014.04.04.a,Surfing,Lacerations to foot,N
347,2014,AUSTRALIA,2014.04.03,Swimming,FATAL,Y
348,2014,AUSTRALIA,2014.03.29,Diving,Shark bites may have been post mortem,Y
349,2014,SOUTH AFRICA,2014.03.22.b,Swimming,FATAL,Y
350,2014,USA,2014.03.22.a,Surfing,Lacerations to left forearm,N
351,2014,USA,2014.03.21,Surfing,Lacerations to toes and heel of right foot,N
352,2014,NEW CALEDONIA,2014.03.18.c,Surfing,Lacerations to calf,N
353,2014,AUSTRALIA,2014.03.18.b,Surfing,Shark leapt onto surfboard; surfer uninjured ,N
354,2014,OTHER,2014.03.13,Diving,"Caribbean reef shark buzzed him. No injury, no attack. ",N
355,2014,AUSTRALIA,2014.03.18,Other,"Injuries to wrist/hand by a mackerel, not a shark",N
356,2014,AUSTRALIA,2014.03.12,Swimming,Minor lacerations to foot,N
357,2014,USA,2014.03.02,Surfing,Lacerations to toes,N
